generation,N_shifts,logPrior,logLik,eventRate,acceptRate
40294000,8,-11.3123,6718.95,1.43279,0.087
40296000,8,-8.56622,6719.96,0.988508,0.0855
40298000,8,-8.03029,6719.86,0.256351,0.0845
40300000,8,-10.2829,6714.62,1.59389,0.0915
40302000,8,-8.38623,6716.43,0.930225,0.092
40304000,8,-6.97523,6717.33,0.316055,0.0885
40306000,8,-7.56796,6720.72,1.01712,0.087
40308000,8,-9.23335,6719.53,1.07289,0.0885
40310000,7,-7.36104,6662.09,0.759893,0.08375
40312000,7,-11.9614,6662.03,0.136403,0.102
40314000,7,-13.7347,6660.64,0.775307,0.084
40316000,7,-6.29107,6661.38,0.823474,0.098
40318000,7,-7.58084,6663.95,1.52727,0.0775
40320000,8,-7.43004,6716.5,0.472081,0.0873333
40322000,7,-9.21007,6662.75,0.817043,0.07725
40324000,8,-11.2709,6721.35,4.80575,0.082
40326000,8,-2.41539,6723.5,0.00662946,0.094
40328000,8,-3.38327,6719.94,0.0745373,0.0835
40330000,8,-5.68172,6722.22,0.558249,0.0785
40332000,8,-7.94791,6722.22,0.224964,0.086
40334000,8,-6.99785,6721.37,0.568969,0.09
40336000,8,-6.4839,6715.14,3.50156,0.0945
40338000,8,-7.69961,6718.45,1.42383,0.093
40340000,8,-3.98575,6715.21,0.547602,0.0865
40342000,8,-7.06209,6714.85,1.14621,0.0765
40344000,7,-4.92945,6661.19,0.880458,0.0839545
40346000,7,-3.82742,6660.3,0.00793678,0.0735
40348000,8,-4.04933,6713.54,0.0169078,0.0945
40350000,8,-5.83081,6713.98,1.81634,0.0725
40352000,8,-3.56793,6707.23,1.24581,0.092
40354000,8,-4.67611,6713.29,0.246525,0.0915
40356000,7,-8.65668,6664.56,0.238923,0.0821
40358000,8,-8.66947,6710.33,0.142984,0.09
40360000,8,-7.34853,6711.73,1.01896,0.0915
40362000,8,-9.31751,6712.54,4.32144,0.083
40364000,7,-8.12298,6666.64,0.12428,0.086875
40366000,7,-6.11396,6667.49,0.118544,0.092
40368000,7,-4.20473,6666.9,0.238394,0.078
40370000,7,-4.44797,6666.76,0.897947,0.077
40372000,7,-5.335,6665.64,0.0302063,0.0925
40374000,8,-8.73209,6706.94,0.0538598,0.0873333
40376000,8,-5.69705,6709.18,0.0777285,0.083
40378000,8,-4.65364,6715.49,1.62613,0.0845
40380000,8,-5.2673,6709.84,1.0747,0.0785
40382000,8,-3.72726,6711.1,0.0877312,0.0815
40384000,8,-5.02782,6714.85,0.0988556,0.098
40386000,8,-4.80134,6713.03,1.48671,0.091
40388000,8,-6.84077,6712.95,0.105696,0.086
40390000,8,-2.05687,6713.77,0.821431,0.0905
40392000,8,-5.74844,6712.64,0.119227,0.087
40394000,8,-9.67659,6711.76,0.513441,0.0865
40396000,8,-5.75991,6710.9,0.141048,0.0905
40398000,8,-7.59631,6714.09,2.98593,0.083
40400000,8,-6.97081,6712.23,0.480947,0.0825
40402000,8,-5.31179,6709.27,0.20434,0.093
40404000,8,-3.95439,6713.16,0.039918,0.0865
40406000,8,-7.45298,6715.05,1.01306,0.0745
40408000,8,-10.413,6711.36,0.0654032,0.094
40410000,7,-10.0689,6665.35,1.13411,0.0819211
40412000,8,-11.0211,6713.57,0.742124,0.094
40414000,8,-9.66419,6714.52,0.44159,0.08
40416000,7,-7.2959,6669.96,0.236612,0.0805
40418000,7,-9.60582,6664.82,0.104109,0.088
40420000,7,-7.61735,6662.97,2.10542,0.0755
40422000,7,-5.63667,6664.93,1.16555,0.075
40424000,8,-6.95653,6728.98,0.293,0.0845
40426000,8,-7.62619,6727.59,0.429098,0.0915
40428000,8,-2.42132,6728.96,0.344046,0.0875
40430000,8,-5.91411,6728.71,0.774026,0.0905
40432000,8,-3.57364,6722.03,0.1138,0.1015
40434000,8,-7.40161,6730.25,0.205915,0.0995
40436000,8,-7.24677,6447.6,0.919088,0.0870237
40438000,8,-14.4158,6446.24,2.01489,0.0845
40440000,8,-13.9025,6448.02,1.26834,0.0945
40442000,8,-15.8484,6445.05,0.254302,0.0905
40444000,8,-13.999,6448.08,0.175873,0.087
40446000,8,-10.8996,6727.68,0.709069,0.09125
40448000,8,-14.7502,6726.54,0.91558,0.0885
40450000,8,-9.62612,6732.44,0.206064,0.08
40452000,8,-11.4725,6729.25,0.440198,0.08
40454000,8,-8.63012,6724.24,0.0116826,0.0865
40456000,7,-15.1952,6664.23,1.28482,0.0867059
