"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
74,0.100519940150047,0.288460723632943,0.00362156162618252,0.154658577049583,0.000596843159546962,0.00998380208614892,-1614.03903492998
75,0.100828727686112,0.262794581051212,0.000248798177188175,0.130675696723489,0.000590659654914086,0.00348508907489078,-1609.41786942822
76,0.102606905689546,0.236376090707496,0.00423783462788146,0.141652309773526,0.000684218152656514,0.00766003879083285,-1613.0073761733
77,0.105146969104848,0.265121157053068,0.00178131021145322,0.142635715564848,0.000492117641575675,0.0102546759142684,-1610.27536252708
78,0.106724240054894,0.258001771933777,0.00321389960394489,0.097561298561585,0.000579849532657692,0.0204199560012557,-1613.9284808196
79,0.106986084909103,0.229374843048825,0.000827303303921517,0.0607302133138418,0.000251907995054962,0.0196587923602536,-1611.38170644073
80,0.105175277910062,0.228827502896441,0.00187279891332847,0.0755017955741454,0.000435573355535908,0.00625876869226194,-1606.88277279225
81,0.101629853314493,0.197213310908256,0.00159140153577872,0.0648854298413785,0.000677441643345998,0.0062731346330951,-1606.36334198559
82,0.105642612117153,0.206145346197265,0.00321942999445312,0.0721777354364024,0.000138633803716196,0.00615584952004412,-1606.69745784753
83,0.10561708257712,0.210574653392183,0.000499051783971457,0.0438718538233866,0.000254027888587231,0.00631966873209372,-1606.15237336834
84,0.100304297877451,0.211522134897481,0.000692159740370988,0.0586341065906394,0.000445229911628306,0.0104874977994741,-1606.9553793526
85,0.105654438285562,0.183356804197502,0.00143765460415713,0.0117290265300063,0.000371065727162074,0.0158188269610519,-1605.64454566345
86,0.102827628035656,0.131861408770017,0.000885192639143384,0.000423306937393236,0.000457283987718756,0.00766911916951755,-1602.83130476213
87,0.104956414437783,0.141725647581752,0.000699722996813567,0.00508471031770206,0.000482544058117131,0.00667745122630707,-1602.27806989334
